Date:10.01.26 16:23:00	Unit:C	CHARGE:00:00	TP:01:11	DRYe:05:41	FCs:09:02	FCe:	SCs:	SCe:	DROP:10:35	COOL:	Time:16:23
Time1	Time2	ET	BT	Event	Air(%)	Burner(%)	Drum(%)	VacFlag	VacSP(Pa)
00:00	00:00	172.1	164.0	CHARGE	51.0	50.0	0.0	0	0
00:01	00:01	171.9	164.2		52.0	50.0	0.0	0	0
00:02	00:02	171.6	164.4		52.0	50.0	0.0	0	0
00:03	00:03	171.0	164.2		52.0	50.0	0.0	0	0
00:04	00:04	170.2	163.2		52.0	50.0	0.0	0	0
00:05	00:05	167.4	160.7		52.0	50.0	0.0	0	0
00:06	00:06	164.9	156.2		52.0	50.0	0.0	0	0
00:07	00:07	160.8	152.0		52.0	50.0	0.0	0	0
00:08	00:08	158.0	148.1		52.0	50.0	0.0	0	0
00:09	00:09	153.3	143.7		52.0	50.0	0.0	0	0
00:10	00:10	150.1	139.1		52.0	50.0	0.0	0	0
00:11	00:11	145.7	136.4		52.0	50.0	0.0	0	0
00:12	00:12	142.9	132.4		52.0	50.0	0.0	0	0
00:13	00:13	140.7	129.9		52.0	50.0	0.0	0	0
00:14	00:14	138.1	125.7		52.0	50.0	0.0	0	0
00:15	00:15	135.5	123.1		52.0	50.0	0.0	0	0
00:16	00:16	133.0	120.2		52.0	50.0	0.0	0	0
00:17	00:17	130.7	116.6		52.0	50.0	0.0	0	0
00:18	00:18	129.8	114.1		52.0	50.0	0.0	0	0
00:19	00:19	128.2	111.7		52.0	50.0	0.0	0	0
00:20	00:20	125.9	108.8		52.0	50.0	0.0	0	0
00:21	00:21	125.1	105.9		52.0	50.0	0.0	0	0
00:22	00:22	123.8	104.8		52.0	50.0	0.0	0	0
00:23	00:23	122.7	102.3		52.0	50.0	0.0	0	0
00:24	00:24	121.7	99.6		52.0	50.0	0.0	0	0
00:25	00:25	120.6	98.5		52.0	50.0	0.0	0	0
00:26	00:26	119.6	96.3		52.0	50.0	0.0	0	0
00:27	00:27	118.9	94.1		52.0	50.0	0.0	0	0
00:28	00:28	118.2	93.2		52.0	50.0	0.0	0	0
00:29	00:29	117.3	91.8		52.0	50.0	0.0	0	0
00:30	00:30	116.6	89.4		52.0	50.0	0.0	0	0
00:31	00:31	116.1	88.7		52.0	50.0	0.0	0	0
00:32	00:32	115.7	87.3		52.0	50.0	0.0	0	0
00:33	00:33	115.3	86.1		52.0	50.0	0.0	0	0
00:34	00:34	115.0	85.0		52.0	50.0	0.0	0	0
00:35	00:35	114.6	83.4		52.0	50.0	0.0	0	0
00:36	00:36	114.2	82.3		52.0	50.0	0.0	0	0
00:37	00:37	114.0	81.3		52.0	50.0	0.0	0	0
00:38	00:38	113.8	80.2		52.0	50.0	0.0	0	0
00:39	00:39	113.9	79.3		52.0	50.0	0.0	0	0
00:40	00:40	115.0	78.2		52.0	50.0	0.0	0	0
00:41	00:41	117.6	77.3		52.0	50.0	0.0	0	0
00:42	00:42	119.8	76.4		52.0	50.0	0.0	0	0
00:43	00:43	123.8	75.7		52.0	50.0	0.0	0	0
00:44	00:44	126.0	74.9		52.0	50.0	0.0	0	0
00:45	00:45	129.7	74.1		52.0	50.0	0.0	0	0
00:46	00:46	132.2	73.5		52.0	50.0	0.0	0	0
00:47	00:47	134.5	72.9		52.0	50.0	0.0	0	0
00:48	00:48	138.5	72.2		52.0	50.0	0.0	0	0
00:49	00:49	139.2	71.7		52.0	50.0	0.0	0	0
00:50	00:50	142.0	71.2		52.0	50.0	0.0	0	0
00:51	00:51	144.4	70.7		52.0	50.0	0.0	0	0
